cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,month,year
02B,02B000984,2B120,FURIANI,,,,02B00103828,2021-09-06,09h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,FURIANI,MAIRIE DE FURIANI,MAIRIE DE FURIANI,C,C,C,C,9,2021
02B,02B000984,2B120,FURIANI,,,,02B00103829,2021-09-20,08h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,FURIANI,MAIRIE DE FURIANI,MAIRIE DE FURIANI,C,C,C,N,9,2021
02B,02B000984,2B120,FURIANI,,,,02B00105457,2021-11-22,09h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,FURIANI,MAIRIE DE FURIANI,MAIRIE DE FURIANI,C,C,C,C,11,2021
02B,02B000996,2B157,MAZZOLA,,,,02B00102765,2021-03-09,08h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,MAZZOLA,MAIRIE DE MAZZOLA,MAIRIE DE MAZZOLA,C,C,C,N,3,2021
02B,02B000996,2B157,MAZZOLA,02B000995,REGARD DE PARTAGE ST PANCRAZE,100 %,02B00103260,2021-05-05,08h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau agressive. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,SI STROSCIA,SI STROSCIA,SI STROSCIA,C,C,C,N,5,2021
02B,02B000996,2B157,MAZZOLA,,,,02B00103886,2021-07-07,08h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,MAZZOLA,MAIRIE DE MAZZOLA,MAIRIE DE MAZZOLA,C,C,C,N,7,2021
02B,02B000996,2B157,MAZZOLA,02B000995,REGARD DE PARTAGE ST PANCRAZE,100 %,02B00104333,2021-09-22,08h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau agressive. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,SI STROSCIA,SI STROSCIA,SI STROSCIA,C,C,C,N,9,2021
02B,02B000997,2B013,ALZI,,,,02B00102501,2021-03-09,08h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,ALZI,MAIRIE DE ALZI,MAIRIE DE ALZI,C,C,C,N,3,2021
02B,02B000997,2B157,MAZZOLA,02B000996,MAZZOLA,100 %,02B00102765,2021-03-09,08h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,MAZZOLA,MAIRIE DE MAZZOLA,MAIRIE DE MAZZOLA,C,C,C,N,3,2021
02B,02B000997,2B013,ALZI,,,,02B00103645,2021-07-07,08h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,ALZI,MAIRIE DE ALZI,MAIRIE DE ALZI,C,C,C,N,7,2021
02B,02B000997,2B157,MAZZOLA,02B000996,MAZZOLA,100 %,02B00103886,2021-07-07,08h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,MAZZOLA,MAIRIE DE MAZZOLA,MAIRIE DE MAZZOLA,C,C,C,N,7,2021
02B,02B000998,2B292,SANT'ANDREA-DI-BOZIO,,,,02B00103021,2021-03-09,08h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,SANT'ANDREA DI BOZIU,MAIRIE DE SANT'ANDREA DI BOZIO,MAIRIE DE SANT'ANDREA DI BOZIO,C,C,C,N,3,2021
02B,02B000998,2B157,MAZZOLA,02B000995,REGARD DE PARTAGE ST PANCRAZE,100 %,02B00103260,2021-05-05,08h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau agressive. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,SI STROSCIA,SI STROSCIA,SI STROSCIA,C,C,C,N,5,2021
02B,02B000998,2B292,SANT'ANDREA-DI-BOZIO,,,,02B00104120,2021-07-07,07h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,SANT'ANDREA DI BOZIU,MAIRIE DE SANT'ANDREA DI BOZIO,MAIRIE DE SANT'ANDREA DI BOZIO,C,C,C,N,7,2021
02B,02B000998,2B157,MAZZOLA,02B000995,REGARD DE PARTAGE ST PANCRAZE,100 %,02B00104333,2021-09-22,08h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau agressive. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,SI STROSCIA,SI STROSCIA,SI STROSCIA,C,C,C,N,9,2021
02B,02B000998,2B292,SANT'ANDREA-DI-BOZIO,,,,02B00105611,2021-09-22,08h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,SANT'ANDREA DI BOZIU,MAIRIE DE SANT'ANDREA DI BOZIO,MAIRIE DE SANT'ANDREA DI BOZIO,C,C,C,N,9,2021
02B,02B000999,2B105,ERBAJOLO,02B001007,RESERVOIR ERBAJOLO,50 %,02B00102685,2021-03-08,09h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,ERBAJOLO,MAIRIE DE ERBAJOLO,MAIRIE DE ERBAJOLO,C,C,C,C,3,2021
02B,02B000999,2B105,ERBAJOLO,,,,02B00102686,2021-05-04,07h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,ERBAJOLO,MAIRIE DE ERBAJOLO,MAIRIE DE ERBAJOLO,C,C,C,C,5,2021
02B,02B000999,2B157,MAZZOLA,02B000995,REGARD DE PARTAGE ST PANCRAZE,50 %,02B00103260,2021-05-05,08h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau agressive. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,SI STROSCIA,SI STROSCIA,SI STROSCIA,C,C,C,N,5,2021
02B,02B000999,2B105,ERBAJOLO,02B001007,RESERVOIR ERBAJOLO,50 %,02B00103806,2021-06-10,08h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,ERBAJOLO,MAIRIE DE ERBAJOLO,MAIRIE DE ERBAJOLO,C,C,C,C,6,2021
02B,02B000999,2B157,MAZZOLA,02B000995,REGARD DE PARTAGE ST PANCRAZE,50 %,02B00104333,2021-09-22,08h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau agressive. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,SI STROSCIA,SI STROSCIA,SI STROSCIA,C,C,C,N,9,2021
02B,02B001017,2B087,CERVIONE,,,,02B00101789,2021-01-12,07h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,1,2021
02B,02B001017,2B087,CERVIONE,02B001013,RESERVOIR DIRUDU,50 %,02B00103243,2021-02-15,06h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,2,2021
02B,02B001017,2B087,CERVIONE,02B000071,RESERVOIR SAN NIOLO,50 %,02B00103244,2021-02-15,07h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,2,2021
02B,02B001017,2B087,CERVIONE,,,,02B00103250,2021-06-07,06h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,6,2021
02B,02B001017,2B087,CERVIONE,,,,02B00103251,2021-04-26,06h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,4,2021
02B,02B001017,2B087,CERVIONE,02B001013,RESERVOIR DIRUDU,50 %,02B00104316,2021-09-20,06h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau agressive. La teneur en chlore libre est insuffisante.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,N,9,2021
02B,02B001017,2B087,CERVIONE,02B000071,RESERVOIR SAN NIOLO,50 %,02B00104317,2021-09-20,07h35,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. Présence de bactéries coliformes.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,N,N,9,2021
02B,02B001017,2B087,CERVIONE,,,,02B00104323,2021-06-29,06h25,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,6,2021
02B,02B001017,2B087,CERVIONE,,,,02B00104324,2021-07-29,06h25,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est trop élévée.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,7,2021
02B,02B001017,2B087,CERVIONE,,,,02B00105726,2021-12-09,07h25,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,12,2021
02B,02B001017,2B087,CERVIONE,,,,02B00105727,2021-10-21,05h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,10,2021
02B,02B001018,2B087,CERVIONE,,,,02B00103256,2021-04-26,06h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,4,2021
02B,02B001018,2B087,CERVIONE,,,,02B00104329,2021-07-29,06h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est trop élévée.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,7,2021
02B,02B001018,2B087,CERVIONE,,,,02B00105732,2021-10-21,06h05,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,10,2021
02B,02B001019,2B087,CERVIONE,02B000071,RESERVOIR SAN NIOLO,100 %,02B00103244,2021-02-15,07h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,2,2021
02B,02B001019,2B087,CERVIONE,,,,02B00103255,2021-06-07,07h55,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,6,2021
02B,02B001019,2B087,CERVIONE,02B000071,RESERVOIR SAN NIOLO,100 %,02B00104317,2021-09-20,07h35,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. Présence de bactéries coliformes.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,N,N,9,2021
02B,02B001019,2B087,CERVIONE,,,,02B00104328,2021-06-29,07h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. La teneur en chlore libre est trop élévée. Eau faiblement minéralisée.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,N,6,2021
02B,02B001019,2B087,CERVIONE,,,,02B00105731,2021-12-09,08h15,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,N,12,2021
02B,02B001020,2B335,VALLE-DI-CAMPOLORO,02B001014,RESERVOIR VALLE DI CAMPOLORO,100 %,02B00103245,2021-02-15,06h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,2,2021
02B,02B001020,2B335,VALLE-DI-CAMPOLORO,,,,02B00103253,2021-06-07,07h25,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,6,2021
02B,02B001020,2B335,VALLE-DI-CAMPOLORO,02B001014,RESERVOIR VALLE DI CAMPOLORO,100 %,02B00104318,2021-09-20,06h35,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,9,2021
02B,02B001020,2B335,VALLE-DI-CAMPOLORO,,,,02B00104326,2021-06-29,06h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,6,2021
02B,02B001020,2B335,VALLE-DI-CAMPOLORO,,,,02B00105729,2021-12-09,07h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,N,12,2021
02B,02B001028,2B074,CASANOVA,02B001027,RESERVOIR ,100 %,02B00102623,2021-04-28,08h00,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau agressive. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,CASANOVA,MAIRIE DE CASANOVA,MAIRIE DE CASANOVA,N,C,N,N,4,2021
02B,02B001028,2B074,CASANOVA,,,,02B00102625,2021-02-23,09h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. Présence de bactéries coliformes. La teneur en chlore libre est insuffisante.,CASANOVA,MAIRIE DE CASANOVA,MAIRIE DE CASANOVA,C,C,N,N,2,2021
02B,02B001028,2B074,CASANOVA,02B001027,RESERVOIR ,100 %,02B00103754,2021-09-01,08h30,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,CASANOVA,MAIRIE DE CASANOVA,MAIRIE DE CASANOVA,N,C,N,N,9,2021
02B,02B001028,2B074,CASANOVA,,,,02B00103756,2021-06-22,08h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,CASANOVA,MAIRIE DE CASANOVA,MAIRIE DE CASANOVA,C,C,C,N,6,2021
02B,02B001028,2B074,CASANOVA,,,,02B00105419,2021-11-24,08h00,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,CASANOVA,MAIRIE DE CASANOVA,MAIRIE DE CASANOVA,N,C,N,N,11,2021
02B,02B001035,2B315,SANTO-PIETRO-DI-VENACO,02B001034,RESERVOIR SANTO PIETRO,100 %,02B00103074,2021-03-31,09h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau agressive. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,SANTO PIETRO DI VENACO,MAIRIE DE SANTO PIETRO DI VENACO,MAIRIE DE SANTO PIETRO DI VENACO,C,C,C,N,3,2021
02B,02B001035,2B315,SANTO-PIETRO-DI-VENACO,,,,02B00103075,2021-02-22,09h15,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,SANTO PIETRO DI VENACO,MAIRIE DE SANTO PIETRO DI VENACO,MAIRIE DE SANTO PIETRO DI VENACO,C,C,C,N,2,2021
02B,02B001035,2B315,SANTO-PIETRO-DI-VENACO,02B001034,RESERVOIR SANTO PIETRO,100 %,02B00104168,2021-09-14,10h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,SANTO PIETRO DI VENACO,MAIRIE DE SANTO PIETRO DI VENACO,MAIRIE DE SANTO PIETRO DI VENACO,C,C,C,N,9,2021
02B,02B001035,2B315,SANTO-PIETRO-DI-VENACO,,,,02B00104169,2021-06-07,09h15,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,SANTO PIETRO DI VENACO,MAIRIE DE SANTO PIETRO DI VENACO,MAIRIE DE SANTO PIETRO DI VENACO,C,C,C,N,6,2021
02B,02B001035,2B315,SANTO-PIETRO-DI-VENACO,,,,02B00105639,2021-10-19,09h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,SANTO PIETRO DI VENACO,MAIRIE DE SANTO PIETRO DI VENACO,MAIRIE DE SANTO PIETRO DI VENACO,C,C,C,N,10,2021
02B,02B001043,2B307,SANTA-LUCIA-DI-MORIANI,02B001041,STATION CHLORATION PETRIGNANI,100 %,02B00103360,2021-06-29,06h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,6,2021
02B,02B001043,2B307,SANTA-LUCIA-DI-MORIANI,02B001041,STATION CHLORATION PETRIGNANI,100 %,02B00103361,2021-02-16,06h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Carbone Organique Total hors norme.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,N,2,2021
02B,02B001043,2B307,SANTA-LUCIA-DI-MORIANI,,,,02B00103373,2021-03-11,07h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,3,2021
02B,02B001043,2B307,SANTA-LUCIA-DI-MORIANI,,,,02B00103374,2021-06-03,06h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,6,2021
02B,02B001043,2B307,SANTA-LUCIA-DI-MORIANI,,,,02B00103375,2021-02-16,06h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,2,2021
02B,02B001043,2B313,SAN-NICOLAO,,,,02B00103376,2021-09-02,06h35,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,9,2021
02B,02B001043,2B311,SANTA-MARIA-POGGIO,,,,02B00103377,2021-03-11,06h55,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,3,2021
02B,02B001043,2B307,SANTA-LUCIA-DI-MORIANI,,,,02B00103378,2021-04-21,08h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,4,2021
02B,02B001043,2B307,SANTA-LUCIA-DI-MORIANI,02B001041,STATION CHLORATION PETRIGNANI,100 %,02B00104414,2021-09-02,06h25,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,9,2021
02B,02B001043,2B307,SANTA-LUCIA-DI-MORIANI,02B001041,STATION CHLORATION PETRIGNANI,100 %,02B00104415,2021-09-23,07h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau agressive.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,N,9,2021
02B,02B001043,2B307,SANTA-LUCIA-DI-MORIANI,,,,02B00104426,2021-07-19,07h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,7,2021
02B,02B001043,2B307,SANTA-LUCIA-DI-MORIANI,,,,02B00104427,2021-09-27,06h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,9,2021
02B,02B001043,2B313,SAN-NICOLAO,,,,02B00104428,2021-09-27,06h25,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,9,2021
02B,02B001043,2B311,SANTA-MARIA-POGGIO,,,,02B00104429,2021-09-27,06h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau fortement minéralisée.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,N,9,2021
02B,02B001043,2B307,SANTA-LUCIA-DI-MORIANI,,,,02B00105783,2021-11-23,06h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,11,2021
02B,02B001043,2B307,SANTA-LUCIA-DI-MORIANI,,,,02B00105784,2021-10-11,06h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,10,2021
02B,02B001049,2B207,PENTA-DI-CASINCA,02B001048,STATION CHLORATION FICAJOLA,100 %,02B00103357,2021-04-21,09h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,4,2021
02B,02B001049,2B207,PENTA-DI-CASINCA,02B001048,STATION CHLORATION FICAJOLA,100 %,02B00103358,2021-06-03,06h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,6,2021
02B,02B001049,2B207,PENTA-DI-CASINCA,,,,02B00103368,2021-01-18,06h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,1,2021
02B,02B001049,2B207,PENTA-DI-CASINCA,,,,02B00103369,2021-04-21,10h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,4,2021
02B,02B001049,2B207,PENTA-DI-CASINCA,,,,02B00103370,2021-06-03,06h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,6,2021
02B,02B001049,2B207,PENTA-DI-CASINCA,,,,02B00103371,2021-03-11,07h35,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,3,2021
02B,02B001049,2B207,PENTA-DI-CASINCA,,,,02B00103372,2021-02-16,05h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,2,2021
02B,02B001049,2B207,PENTA-DI-CASINCA,02B001048,STATION CHLORATION FICAJOLA,100 %,02B00104411,2021-06-28,07h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,6,2021
02B,02B001049,2B207,PENTA-DI-CASINCA,02B001048,STATION CHLORATION FICAJOLA,100 %,02B00104412,2021-09-02,06h55,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,9,2021
02B,02B001049,2B207,PENTA-DI-CASINCA,,,,02B00104421,2021-09-23,07h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,9,2021
02B,02B001049,2B207,PENTA-DI-CASINCA,,,,02B00104422,2021-06-28,07h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,6,2021
02B,02B001049,2B207,PENTA-DI-CASINCA,,,,02B00104423,2021-07-19,07h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,7,2021
02B,02B001049,2B207,PENTA-DI-CASINCA,,,,02B00104424,2021-09-27,07h25,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,9,2021
02B,02B001049,2B207,PENTA-DI-CASINCA,,,,02B00104425,2021-09-02,07h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CASINCA,KYRNOLIA,SI CASINCA,C,C,C,C,9,2021
